Samsung 198 L 4 Star Inverter Direct cool Single Door Refrigerator(RR21A2F2XNV/HL - Base Stand with Drawer - ...,16490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators1.png
Samsung 192 L 2 Star Direct Cool Single Door Refrigerator (RR19A241BGS/NL - Grey Silver),13190,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators2.png
Samsung 253L 3 Star Inverter Frost Free Double Door Refrigerator (RT28T3743S8/HL - Silver - Elegant Inox - Convertible),26290,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators3.png
Samsung 198 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RR21T2H2XCR/HL - Camellia Purple - Base Stand with Drawer),16490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators4.png
Godrej 185 L 4 Star Inverter Direct-Cool Single Door Refrigerator (RD UNO 1854 PTI AQ WN - Aqua Wine - Cool Lock Technology),13990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators5.png
LG 260L 3 Star Smart Inverter Frost-Free Double Door Refrigerator (GL-I292RPZX - Shiny Steel - Door Cooling+),25990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators6.png
Haier 195 L 4 Star Direct-Cool Single-Door Refrigerator (HED- 20CFDS - Dazzle Steel),14790,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators7.png
Samsung 225 L 4 Star Inverter Direct Cool Single Door Refrigerator (RR23A2F3X9U/HL - Base Stand with Drawer - Digi-Touch Coo...,19790,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators8.png
Samsung 253 L 3 Star with Inverter Double Door Refrigerator (RT28A3453S8/HL - Grey - Elegant Inox),24490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators9.png
LG 9.0 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T90SJSF1Z - Middle Free Silver -...,27490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Washing Machines0.png
LG 9 Kg 5 Star Inverter Fully-Automatic Top Load Washing Machine (THD09NPF - Middle Free Silver - AIDD Techno...,26999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Washing Machines1.png
Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65A4002VS/TL - Imperial Silver - Diamond Drum),14590,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Washing Machines2.png
LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ - Dark Gray - Wind Jet Dry),11490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Washing Machines3.png
Samsung 6.0 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW60R20GLMA/TL - White - Hygiene Steam),22490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Washing Machines4.png
Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX - Grey - Hard Water Wash),16740,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Washing Machines5.png
